phase,model_id,fold,seed,scenario,protocol_sha256,source_prediction_sha256,run_id,requested_coverage,coverage,accepted_count,risk_masked_bce,macro_f1,micro_f1,known_target_count,score_method,confidence_cutoff
V3-2,P2,4,47,natural_missingness,ea4f5c2a61cf7df43321c66da250e1480ff9cb431dfabb22d9c4d05d565bb993,36acd56b56e9691b25833311a6dba037d1103629d12b6c53e97c0f66da24fd24,extrasensory-p2-fold4-seed47-v2_multiseed,0.05,0.05000980199960792,2551,0.2762511540926981,0.36858004405193745,0.8689740420271941,25552,mean_binary_certainty,0.9177673121339565
V3-2,P2,4,47,natural_missingness,ea4f5c2a61cf7df43321c66da250e1480ff9cb431dfabb22d9c4d05d565bb993,36acd56b56e9691b25833311a6dba037d1103629d12b6c53e97c0f66da24fd24,extrasensory-p2-fold4-seed47-v2_multiseed,0.1,0.1,5101,0.2365855961743989,0.3962077692699826,0.9004936508429321,54811,mean_binary_certainty,0.8690322994430809
V3-2,P2,4,47,natural_missingness,ea4f5c2a61cf7df43321c66da250e1480ff9cb431dfabb22d9c4d05d565bb993,36acd56b56e9691b25833311a6dba037d1103629d12b6c53e97c0f66da24fd24,extrasensory-p2-fold4-seed47-v2_multiseed,0.15,0.15000980199960792,7652,0.22130431805769568,0.43537911337117874,0.9095141458756117,83722,mean_binary_certainty,0.738761384017602
V3-2,P2,4,47,natural_missingness,ea4f5c2a61cf7df43321c66da250e1480ff9cb431dfabb22d9c4d05d565bb993,36acd56b56e9691b25833311a6dba037d1103629d12b6c53e97c0f66da24fd24,extrasensory-p2-fold4-seed47-v2_multiseed,0.2,0.2,10202,0.21769271074015062,0.6316289446924831,0.8963361802203244,110929,mean_binary_certainty,0.649307614106327
V3-2,P2,4,47,natural_missingness,ea4f5c2a61cf7df43321c66da250e1480ff9cb431dfabb22d9c4d05d565bb993,36acd56b56e9691b25833311a6dba037d1103629d12b6c53e97c0f66da24fd24,extrasensory-p2-fold4-seed47-v2_multiseed,0.25,0.25000980199960793,12753,0.24313768251491844,0.6761384177894851,0.8767919512067976,135732,mean_binary_certainty,0.5805076975741819
V3-2,P2,4,47,natural_missingness,ea4f5c2a61cf7df43321c66da250e1480ff9cb431dfabb22d9c4d05d565bb993,36acd56b56e9691b25833311a6dba037d1103629d12b6c53e97c0f66da24fd24,extrasensory-p2-fold4-seed47-v2_multiseed,0.3,0.3,15303,0.27262328216345777,0.6906801591545039,0.8603848496469579,159853,mean_binary_certainty,0.5340464952726167
V3-2,P2,4,47,natural_missingness,ea4f5c2a61cf7df43321c66da250e1480ff9cb431dfabb22d9c4d05d565bb993,36acd56b56e9691b25833311a6dba037d1103629d12b6c53e97c0f66da24fd24,extrasensory-p2-fold4-seed47-v2_multiseed,0.35,0.3500098019996079,17854,0.2919625788847995,0.6915139281856807,0.8431115276476101,184788,mean_binary_certainty,0.49800552406890786
V3-2,P2,4,47,natural_missingness,ea4f5c2a61cf7df43321c66da250e1480ff9cb431dfabb22d9c4d05d565bb993,36acd56b56e9691b25833311a6dba037d1103629d12b6c53e97c0f66da24fd24,extrasensory-p2-fold4-seed47-v2_multiseed,0.4,0.4,20404,0.3143130743429005,0.6939120369426965,0.827865979742754,208954,mean_binary_certainty,0.4677131172185719
V3-2,P2,4,47,natural_missingness,ea4f5c2a61cf7df43321c66da250e1480ff9cb431dfabb22d9c4d05d565bb993,36acd56b56e9691b25833311a6dba037d1103629d12b6c53e97c0f66da24fd24,extrasensory-p2-fold4-seed47-v2_multiseed,0.45,0.45000980199960794,22955,0.33434196719877285,0.692311160219469,0.8129136730234093,233485,mean_binary_certainty,0.4394539256967739
V3-2,P2,4,47,natural_missingness,ea4f5c2a61cf7df43321c66da250e1480ff9cb431dfabb22d9c4d05d565bb993,36acd56b56e9691b25833311a6dba037d1103629d12b6c53e97c0f66da24fd24,extrasensory-p2-fold4-seed47-v2_multiseed,0.5,0.5,25505,0.3503460841802356,0.6901966267832118,0.7996191539777648,258327,mean_binary_certainty,0.4117799174110153
