phase,model_id,fold,seed,scenario,protocol_sha256,selected_family,source_prediction_sha256,run_id,requested_coverage,coverage,accepted_count,risk_masked_bce,macro_f1,micro_f1,known_target_count,score_method,confidence_cutoff
V3-3,P2,0,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_output_compact,0d73ab992cbe5fe6bf4e93419766623e57622e207cab8673bb9ca23ec6927615,extrasensory-p2-fold0-seed13-v2_seed13,0.05,0.05000076853317758,3253,0.10448838474914991,0.42650609471469303,0.9593711145870935,40506,mean_binary_certainty,0.9530369242362273
V3-3,P2,0,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_output_compact,0d73ab992cbe5fe6bf4e93419766623e57622e207cab8673bb9ca23ec6927615,extrasensory-p2-fold0-seed13-v2_seed13,0.1,0.10000153706635516,6506,0.14048905929301597,0.4413127021310625,0.9491932855280313,83378,mean_binary_certainty,0.9285942112305604
V3-3,P2,0,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_output_compact,0d73ab992cbe5fe6bf4e93419766623e57622e207cab8673bb9ca23ec6927615,extrasensory-p2-fold0-seed13-v2_seed13,0.15,0.15000230559953273,9759,0.16032600638893277,0.4312197389144692,0.9376033513394334,124108,mean_binary_certainty,0.8853910819970705
V3-3,P2,0,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_output_compact,0d73ab992cbe5fe6bf4e93419766623e57622e207cab8673bb9ca23ec6927615,extrasensory-p2-fold0-seed13-v2_seed13,0.2,0.20000307413271032,13012,0.19002362381597845,0.5310696522641363,0.9217624463998808,162059,mean_binary_certainty,0.7764108315631508
V3-3,P2,0,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_output_compact,0d73ab992cbe5fe6bf4e93419766623e57622e207cab8673bb9ca23ec6927615,extrasensory-p2-fold0-seed13-v2_seed13,0.25,0.2500038426658879,16265,0.20409617607625327,0.6045906300670824,0.9067051473949324,196235,mean_binary_certainty,0.6924591376609791
V3-3,P2,0,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_output_compact,0d73ab992cbe5fe6bf4e93419766623e57622e207cab8673bb9ca23ec6927615,extrasensory-p2-fold0-seed13-v2_seed13,0.3,0.30000461119906546,19518,0.22676306777608501,0.6335816503961456,0.8850375325736066,230005,mean_binary_certainty,0.6407395598412267
V3-3,P2,0,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_output_compact,0d73ab992cbe5fe6bf4e93419766623e57622e207cab8673bb9ca23ec6927615,extrasensory-p2-fold0-seed13-v2_seed13,0.35,0.35000537973224305,22771,0.24835085490046302,0.6460744438843898,0.8639069562341528,263171,mean_binary_certainty,0.6041482556854216
V3-3,P2,0,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_output_compact,0d73ab992cbe5fe6bf4e93419766623e57622e207cab8673bb9ca23ec6927615,extrasensory-p2-fold0-seed13-v2_seed13,0.4,0.40000614826542064,26024,0.2697030230428198,0.6490074151437452,0.8439733397574881,295881,mean_binary_certainty,0.5736398285575447
V3-3,P2,0,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_output_compact,0d73ab992cbe5fe6bf4e93419766623e57622e207cab8673bb9ca23ec6927615,extrasensory-p2-fold0-seed13-v2_seed13,0.45,0.4500069167985982,29277,0.28793799765877887,0.6520068185754078,0.8271036951423409,327840,mean_binary_certainty,0.5466001841086692
V3-3,P2,0,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_output_compact,0d73ab992cbe5fe6bf4e93419766623e57622e207cab8673bb9ca23ec6927615,extrasensory-p2-fold0-seed13-v2_seed13,0.5,0.5000076853317758,32530,0.30430676667560397,0.6484748130922254,0.8119994025022792,358980,mean_binary_certainty,0.5232574078067159
